30.10.24 Dynamic List Display                                                         1


	Deliv.date	Time	Delivery	Flag	Vendor	Name of vendor	GM

	28.10.2024	08:00:00	180039153		113534	AXALTA COATING SYSTEMS FRANCE SAS	C
	28.10.2024	08:00:00	180039571		113619	MATECS SP.Z.O.O.	C
	28.10.2024	10:00:00	180039583		181281	ADIS TACHOV	C
	28.10.2024	10:00:00	180039699		60662	ADLER PELZER FRANCE GRAND-EST SAS	C
	28.10.2024	10:30:00	180039152		134808	KLEIBERIT SE & Co. KG	C
	28.10.2024	11:00:00	180039157		103802	STOKVIS TAPES POLAND SP ZO.O	C
	28.10.2024	16:00:00	180039096		211794	KNAUF INDUSTRIES POLSKA SP ZOO	A
	28.10.2024	17:00:00	180039483		216060	AIT POLSKA SP. ZO.O	A
	28.10.2024	19:00:00	180039222		3000000110	Stemke GmbH	A
	28.10.2024	19:00:00	180039532		236440	GRAFORM SP.Z O.O.	A
	28.10.2024	20:00:00	180038625		127443	PROCOTEX	A
	28.10.2024	21:15:00	180038633		194172	TWE VLIESSTOFFWERKE GMBH CO. KG	A
	28.10.2024	22:00:00	180038622		128074	ALTEX TEXTIL RECYCLING GMBH CO	A
	28.10.2024	22:00:00	180038627		190010	ADLER EVO S.R.L	C
	29.10.2024	00:00:00	180039724		143080	ADLER POLSKA SP. Z O.O.	A
	29.10.2024	05:00:00	180039223		112984	LA SOIE NEYME SAS	A
	29.10.2024	08:00:00	180039076		200643	BASF POLSKA SP. Z.O.O.	C
	29.10.2024	08:00:00	180039572		113619	MATECS SP.Z.O.O.	A
	29.10.2024	13:00:00	180039077		200643	BASF POLSKA SP. Z.O.O.	A
	29.10.2024	13:00:00	180039783		216060	AIT POLSKA SP. ZO.O	A
	29.10.2024	16:00:00	180039191		162713	INDUSTRIE MAURIZIO PERUZZO COMFORT	A
	29.10.2024	16:00:00	180039243		143080	ADLER POLSKA SP. Z O.O.	A
	29.10.2024	17:00:00	180039484		216060	AIT POLSKA SP. ZO.O	A
	29.10.2024	19:00:00	180039154		213975	FIBERTEX NONWOVENS A.S.	A
	30.10.2024	04:30:00	180039489		60662	ADLER PELZER FRANCE GRAND-EST SAS	A
	30.10.2024	08:00:00	180039573		113619	MATECS SP.Z.O.O.	A
	30.10.2024	11:00:00	180039158		103802	STOKVIS TAPES POLAND SP ZO.O	A
	30.10.2024	15:00:00	180039815		60662	ADLER PELZER FRANCE GRAND-EST SAS	A
	30.10.2024	17:00:00	180039485		216060	AIT POLSKA SP. ZO.O	A
	30.10.2024	19:00:00	180039533		236440	GRAFORM SP.Z O.O.	A
	30.10.2024	23:00:00	180037664		113568	H.B. FULLER ADHESIVES FRANCE SAS.	A
	30.10.2024	23:30:00	180039488		60662	ADLER PELZER FRANCE GRAND-EST SAS	C
	31.10.2024	00:00:00	180038626		114428	KOLLER GMBH - KUNSTSTOFFTECHNIK	A
	31.10.2024	08:00:00	180039574		113619	MATECS SP.Z.O.O.	A
	31.10.2024	10:00:00	180039156		110657	PREMIUM SOUND SOLUTION	A
	31.10.2024	11:00:00	180039165		128368	O.R.V. MANUFACTURING S.P.A.	A
	31.10.2024	12:00:00	180038670		156850	JOUBERT TUNISIA	A
	31.10.2024	13:00:00	180039055		229565	HASSAN DIS TICARET A.S.	A
	31.10.2024	13:00:00	180039078		200643	BASF POLSKA SP. Z.O.O.	A
	31.10.2024	16:00:00	180039097		211794	KNAUF INDUSTRIES POLSKA SP ZOO	A
	31.10.2024	16:00:00	180039515		164272	KNAUF INDUSTRIES POLSKA SP. Z O. O	A
	31.10.2024	17:00:00	180039486		216060	AIT POLSKA SP. ZO.O	A
	31.10.2024	23:00:00	180039490		60662	ADLER PELZER FRANCE GRAND-EST SAS	A
	01.11.2024	08:00:00	180039575		113619	MATECS SP.Z.O.O.	A
